Wall time,Step,Value
1536576286.5018003,3243,-890.6199951171875
1536576290.9272652,3244,0.0
1536576299.6992774,3246,2540.85009765625
1536576304.0188527,3247,0.0
1536576397.041539,3267,-882.5900268554688
1536576419.0749643,3272,1295.0899658203125
1536576458.8911672,3281,2822.22998046875
1536576467.6132295,3283,-1650.3499755859375
1536576476.3412864,3285,2426.3798828125
1536576568.5518098,3305,3739.050048828125
1536576603.633861,3313,0.0
1536576664.6273663,3327,2176.64990234375
1536576668.9908962,3328,0.0
1536576690.9893568,3333,-374.260009765625
1536576713.2165809,3338,-1148.1700439453125
1536576743.8811615,3345,-159.92999267578125
1536576801.190442,3357,2324.780029296875
1536576875.574227,3374,871.22998046875
1536576884.4621196,3376,1834.010009765625
1536576893.1881804,3378,0.0
1536576906.355688,3381,0.0
1536576928.3181846,3386,4267.31982421875
1536577008.2043312,3403,1825.5799560546875
1536577030.0809162,3408,0.0
1536577126.6110117,3430,0.0
1536577139.6376646,3433,-1558.9000244140625
1536577161.821933,3438,2013.31005859375
1536577192.898092,3445,5242.7099609375
1536577210.6309242,3449,374.55999755859375
1536577224.8143914,3451,2190.18994140625
1536577251.2063491,3457,-3811.60009765625
1536577255.6428032,3458,1165.6199951171875
1536577282.0807145,3464,-1890.1500244140625
1536577312.895141,3471,2883.739990234375
1536577339.2940934,3477,-1662.050048828125
1536577352.4176455,3480,-408.19000244140625
1536577427.6495626,3497,1753.3800048828125
1536577435.8781307,3499,0.0
1536577485.4583306,3509,617.5499877929688
1536577498.738724,3512,0.0
1536577507.5097363,3514,3429.25
1536577529.4033048,3519,-280.7099914550781
1536577600.4485102,3535,2861.31005859375
1536577609.3993392,3537,4525.35009765625
1536577635.909176,3543,6219.77001953125
1536577653.9147265,3547,5843.41015625
1536577662.8235989,3549,3252.72998046875
1536577730.2734904,3563,0.0
1536577805.6192894,3580,3243.030029296875
1536577858.6979034,3592,0.0
1536577889.9928389,3599,-589.7000122070312
1536577894.4942267,3600,340.05999755859375
1536577979.7159061,3618,1267.1700439453125
1536577988.7086923,3620,3008.27001953125
1536577997.621562,3622,4252.14013671875
1536578010.8500054,3625,-2220.580078125
1536578024.1443834,3628,3468.22998046875
1536578099.3303475,3645,0.0
1536578152.9364223,3656,421.2099914550781
1536578157.480766,3657,3136.97998046875
1536578184.1004908,3663,1880.0799560546875
1536578214.949882,3670,1306.0
1536578321.5086997,3694,0.0
1536578347.962596,3700,-165.86000061035156
1536578362.6595368,3702,3016.469970703125
1536578455.2286935,3723,0.0
1536578468.4891076,3726,5641.77978515625
1536578486.263895,3730,-63.630001068115234
1536578490.6324203,3731,0.0
1536578494.961983,3732,0.0
1536578521.7015846,3738,-2514.06005859375
1536578535.1008565,3741,-479.3900146484375
1536578543.921818,3743,1715.27001953125
1536578588.6569824,3752,0.0
1536578619.3894923,3759,2913.909912109375
1536578677.0394237,3772,719.27001953125
1536578712.6299574,3780,2403.760009765625
1536578770.3178492,3793,0.0
1536578779.1757731,3795,1776.0899658203125
1536578792.3023233,3798,0.0
1536578851.1839917,3810,1108.780029296875
1536578868.8319101,3814,1807.7900390625
1536578890.9442537,3819,0.0
1536578899.997977,3821,1922.56005859375
1536578943.9928997,3831,3091.860107421875
1536578952.8718011,3833,715.6799926757812
1536578961.8066468,3835,2603.010009765625
1536579019.7752512,3848,1375.050048828125
1536579096.2818608,3864,2233.219970703125
1536579118.6539378,3869,2972.419921875
1536579150.046774,3876,0.0
1536579267.0988405,3901,2590.7099609375
1536579271.4873428,3902,-1635.0400390625
1536579275.8658571,3903,0.0
1536579307.0768776,3910,3519.47998046875
1536579351.5423174,3920,1202.4000244140625
1536579387.301678,3928,-1104.1099853515625
1536579418.5176933,3935,0.0
1536579436.4513183,3939,2604.510009765625
1536579485.89366,3950,3256.3701171875
1536579517.9927695,3956,2040.8699951171875
1536579544.4976134,3962,1680.1400146484375
1536579642.0047052,3984,2946.8798828125
1536579690.5689456,3995,3290.179931640625
1536579712.806161,4000,2254.860107421875
1536579758.7450924,4009,-1879.6700439453125
1536579763.1665604,4010,143.55999755859375
1536579811.9315956,4021,1561.75
1536579816.402015,4022,1485.75
1536579864.788439,4033,536.239990234375
1536579878.0598392,4036,0.0
1536579909.0700662,4043,-2462.18994140625
1536579922.3914173,4046,3597.97998046875
1536579926.8878105,4047,1887.1400146484375
1536579931.3102794,4048,2502.77001953125
1536580061.5108726,4076,4263.25
1536580137.5309818,4093,-2194.47998046875
1536580159.742225,4098,0.0
1536580164.1267307,4099,2244.81005859375
1536580214.9886196,4109,-2890.169921875
1536580479.0410652,4167,1369.5899658203125
1536580546.160295,4182,3125.27001953125
1536580595.2579887,4193,3223.530029296875
1536580599.7084286,4194,3776.889892578125
1536580608.575343,4196,3915.47998046875
1536580617.6010942,4198,1551.8599853515625
1536580637.6985018,4201,-41.47999954223633
1536580642.188901,4202,2658.330078125
1536580651.118752,4204,3177.97998046875
1536580754.185148,4227,0.0
1536580776.8549206,4232,-1078.449951171875
1536580790.1962507,4235,-2032.0699462890625
1536580825.9626036,4243,3296.169921875
1536580881.438763,4254,2215.8701171875
1536580921.410806,4263,0.0
1536580934.7151754,4266,0.0
1536580939.1026797,4267,0.0
1536580979.1965988,4276,157.05999755859375
1536581006.17096,4282,-735.02001953125
1536581077.9733894,4298,0.0
1536581110.9466045,4304,0.0
1536581128.8972123,4308,953.6300048828125
1536581169.3138018,4317,2688.679931640625
1536581178.4314585,4319,-384.20001220703125
1536581218.6232774,4328,-396.0799865722656
1536581236.6288292,4332,-482.1300048828125
1536581263.4613369,4338,0.0
1536581286.0491917,4343,-4372.5498046875
1536581359.3580782,4358,2476.919921875
1536581390.85281,4365,3582.469970703125
1536581408.863355,4369,1556.449951171875
1536581449.310913,4378,-4369.89013671875
1536581516.8517077,4393,-2379.10009765625
1536581548.2615244,4400,-2078.52001953125
1536581581.581386,4406,-690.8599853515625
1536581599.6219006,4410,2548.9599609375
1536581604.0613515,4411,367.05999755859375
1536581688.9433818,4430,1529.989990234375
1536581693.55066,4431,-1288.300048828125
1536581702.5514374,4433,0.0
1536581729.0422943,4439,0.0
1536581742.2817292,4442,755.2899780273438
1536581870.0538118,4469,719.52001953125
1536581897.1240773,4475,6031.18994140625
1536581915.0457125,4479,-4523.919921875
1536581928.653769,4482,1638.3499755859375
1536581964.5719683,4490,1836.47998046875
1536581973.786526,4492,-1935.1800537109375
1536582056.8624046,4509,0.0
1536582061.3258321,4510,3759.0400390625
1536582146.611447,4529,3056.5400390625
1536582151.0369127,4530,-796.3599853515625
1536582164.3742466,4533,-2652.35009765625
1536582195.861984,4540,1109.8699951171875
1536582204.8457797,4542,0.0
1536582240.78995,4550,-2141.5400390625
1536582255.973393,4552,-1358.6500244140625
1536582260.4368198,4553,-421.69000244140625
1536582328.2623248,4568,0.0
1536582372.8416474,4578,5126.68017578125
1536582386.3268316,4581,-1656.030029296875
1536582436.02391,4592,-464.4200134277344
1536582449.4641392,4595,0.0
1536582458.485895,4597,5854.2900390625
1536582467.4217396,4599,478.8599853515625
1536582528.8148372,4611,-382.45001220703125
1536582605.5002618,4628,-179.99000549316406
1536582673.1119864,4643,3662.739990234375
1536582700.1932392,4649,-686.2000122070312
1536582738.06943,4656,-1103.22998046875
1536582774.0285857,4664,0.0
1536582792.1360326,4668,2007.449951171875
1536582823.8635247,4675,3143.22998046875
1536582828.4678082,4676,183.77999877929688
1536582833.033129,4677,1311.219970703125
1536582878.2947536,4687,2496.840087890625
1536582979.5569983,4708,-4087.080078125
1536583002.2837112,4713,1389.43994140625
1536583024.901537,4718,0.0
1536583097.26739,4734,0.0
1536583119.87123,4739,1462.0400390625
1536583147.0993316,4745,2540.830078125
1536583165.8231478,4749,2055.340087890625
1536583170.360498,4750,0.0
1536583213.1936116,4758,660.510009765625
1536583226.7277431,4761,2798.10009765625
